EulerH,EulerR,EulerP,QuaternionW,QuaternionX,QuaternionY,QuaternionZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,GravityX,GravityY,GravityZ,X_MeanAdjIntegral_0.995,Y_MeanAdjIntegral_0.995,Z_MeanAdjIntegral_0.995,GestureNumber,GestureName
58.75,-0.9375,-24.625,-0.851196289,-0.190307617,0.097412109,0.479309082,0.02,-0.02,-0.13,-0.16,4.09,8.91,0.185544701,-0.030977053,-0.010762035,0,Relax
58.6875,-1.0625,-24.4375,-0.85168457,-0.18951416,0.095397949,0.479125977,0.03,0.04,-0.02,-0.18,4.06,8.92,0.172081525,-0.030000877,-0.009649917,0,Relax
58.8125,-1.1875,-24.375,-0.851196289,-0.189331055,0.094604492,0.48034668,0.09,0.04,-0.04,-0.2,4.05,8.92,0.164145874,-0.02677907,-0.008547556,0,Relax
59.125,-1.1875,-24.375,-0.850097656,-0.189147949,0.094848633,0.48223877,0.05,-0.02,-0.07,-0.2,4.05,8.92,0.150627366,-0.023267787,-0.007813959,0,Relax
59.375,-1.1875,-24.375,-0.849060059,-0.189025879,0.095153809,0.484069824,0.14,-0.01,0,-0.21,4.05,8.92,0.143948784,-0.024884323,-0.010210313,0,Relax
59.625,-1.25,-24.375,-0.847900391,-0.189208984,0.095275879,0.486022949,0.18,-0.02,0.04,-0.21,4.05,8.92,0.144117468,-0.02317405,-0.006623189,0,Relax
59.625,-1.3125,-24.3125,-0.848022461,-0.188903809,0.094421387,0.48614502,0.17,-0.3,-0.1,-0.23,4.04,8.93,0.14426254,-0.036060416,-0.005206784,0,Relax
60.0625,-1.5,-24.1875,-0.846374512,-0.188354492,0.093139648,0.489379883,1.2,0.71,-0.85,-0.26,4.02,8.94,0.183779721,-0.026077582,-0.029850826,7,DragLeft
58.5625,-1.875,-24.125,-0.854370117,-0.191162109,0.086730957,0.475402832,0.73,1.49,-0.67,-0.32,4.01,8.94,0.264868883,0.112284855,-0.096832942,7,DragLeft
51.4375,-1.625,-24.0625,-0.88494873,-0.19342041,0.075805664,0.416748047,-0.26,1.69,0.76,-0.26,3.97,8.96,0.269537619,0.283744001,-0.057235047,7,DragLeft
38.375,0.75,-22.0625,-0.931396484,-0.177246094,0.069519043,0.310302734,-1.87,0.4,-0.71,0.19,3.66,9.09,0.133476768,0.392792614,-0.029745678,7,DragLeft
22.875,3.4375,-23.5625,-0.960510254,-0.194641113,0.07019043,0.186218262,-1.86,-5.17,1.94,0.61,3.92,8.96,-0.084701147,0.123404724,0.009317598,7,DragLeft
19.375,3,-19.625,-0.97088623,-0.163452148,0.054992676,0.166137695,-0.16,1.4,0.28,0.5,3.23,9.24,-0.174644481,-0.015920927,0.057165439,7,DragLeft
17.625,2.4375,-16.6875,-0.977416992,-0.140441895,0.043762207,0.151672363,0.03,-0.87,-0.37,0.42,2.81,9.38,-0.165254932,-0.001940319,0.012681182,7,DragLeft
18.25,2.8125,-17.1875,-0.975830078,-0.143859863,0.04864502,0.157043457,-0.12,-0.1,0,0.49,2.92,9.34,-0.167756471,-0.044914243,0.00251168,7,DragLeft
20.5625,3.125,-18.375,-0.97088623,-0.15222168,0.055908203,0.176330566,-0.41,-0.77,0.15,0.53,3.09,9.29,-0.197096918,-0.096790996,0.007825314,7,DragLeft
25.6875,2.625,-18.4375,-0.962097168,-0.151184082,0.058410645,0.219421387,-0.27,-0.62,0.08,0.44,3.1,9.29,-0.218439872,-0.154997892,0.020301372,7,DragLeft
32.125,1.875,-18,-0.948974609,-0.145751953,0.059326172,0.273254395,-0.41,-1.21,0.39,0.3,3.03,9.32,-0.236126421,-0.229350205,0.04036839,7,DragLeft
40.4375,0.6875,-16.9375,-0.927978516,-0.136413574,0.057006836,0.342102051,-0.24,-1.03,-0.09,0.09,2.83,9.38,-0.240778782,-0.302173142,0.064095667,7,DragLeft
51.5,-0.625,-15.6875,-0.892150879,-0.125915527,0.054260254,0.430419922,-0.72,0.21,-0.24,-0.13,2.64,9.44,-0.279311947,-0.314553648,0.086965577,7,DragLeft
63.1875,-1.375,-15.6875,-0.843444824,-0.12322998,0.061035156,0.519287109,-0.92,2.07,-0.17,-0.24,2.66,9.43,-0.358871991,-0.185285724,0.059994977,7,DragLeft
70.4375,-1.625,-16.8125,-0.808044434,-0.127868652,0.072509766,0.570495605,-0.14,1.83,-0.53,-0.28,2.83,9.38,-0.392772388,0.040119828,0.022838788,7,DragLeft
73.0625,-1.5,-18.75,-0.792541504,-0.13885498,0.086242676,0.587463379,0.39,0.95,-0.53,-0.25,3.15,9.28,-0.355412209,0.177788119,-0.033459546,7,DragLeft
73.8125,-1.5,-19.75,-0.787475586,-0.145263672,0.092224121,0.591796875,0.13,0.3,0.07,-0.26,3.31,9.22,-0.32190913,0.220695352,-0.046536425,7,DragLeft
73.8125,-1.375,-20.4375,-0.786804199,-0.149597168,0.096679688,0.591003418,0.12,0,0.07,-0.24,3.42,9.18,-0.301914895,0.216718083,-0.043463443,0,Relax
73.625,-1.1875,-20.625,-0.787475586,-0.150024414,0.099121094,0.589538574,0.26,-0.26,0.22,-0.2,3.46,9.17,-0.275851006,0.193527726,-0.030650811,0,Relax
73.8125,-0.6875,-20.4375,-0.786621094,-0.145935059,0.101379395,0.591247559,-0.05,0.42,0.07,-0.12,3.42,9.18,-0.259870011,0.188275234,-0.016369298,0,Relax
74,-0.3125,-20.25,-0.786010742,-0.142272949,0.103759766,0.592590332,-0.01,0.33,-0.27,-0.05,3.39,9.19,-0.261807675,0.20892131,-0.034349343,0,Relax
73.75,-0.125,-20.4375,-0.78704834,-0.142883301,0.105285645,0.590820313,-0.04,0.05,-0.2,-0.03,3.42,9.18,-0.259239989,0.216015939,-0.059945832,0,Relax
73.5,-0.1875,-20.625,-0.788146973,-0.144714355,0.106018066,0.588806152,-0.14,0.11,0.05,-0.03,3.46,9.17,-0.261868172,0.205596912,-0.056847988,0,Relax
73.4375,-0.1875,-20.625,-0.788330078,-0.144958496,0.105773926,0.588500977,0.02,0.02,0.06,-0.03,3.46,9.17,-0.260569438,0.190763707,-0.050694512,0,Relax
73.75,-0.1875,-20.625,-0.78692627,-0.144775391,0.106018066,0.590332031,0.06,0.27,-0.01,-0.03,3.46,9.17,-0.241336704,0.187294991,-0.051030343,0,Relax
